Unnamed: 0.1,Unnamed: 0,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,alcohol,quality
640,5538,2.3,0.071,16.0,40.0,0.9991,9.4,5
648,5546,2.8,0.066,10.0,28.0,0.9964,11.2,7
954,5852,2.7,0.082,6.0,11.0,0.99538,12.2,6
594,5492,2.6,0.096,20.0,38.0,0.9978,9.5,5
744,5642,2.7,0.095,21.0,101.0,1.0001,9.5,5
480,5378,15.5,0.069,6.0,23.0,1.0026,9.2,5
356,5254,3.0,0.08,29.0,55.0,1.0001,11.0,5
121,5019,2.2,0.119,14.0,56.0,0.9962,10.9,6
750,5648,2.9,0.089,17.0,40.0,0.99803,9.5,5
1369,6267,1.6,0.069,4.0,8.0,0.99396,10.4,4
1250,6148,2.3,0.079,24.0,37.0,0.99514,10.9,6
1320,6218,2.6,0.094,12.0,88.0,0.99796,10.1,5
902,5800,2.4,0.08,16.0,33.0,0.99736,10.8,7
48,4946,1.6,0.066,5.0,12.0,0.9958,9.2,5
896,5794,2.4,0.078,17.0,43.0,0.99444,12.5,7
787,5685,2.2,0.079,19.0,58.0,0.9991,10.1,6
1071,5969,8.1,0.098,30.0,92.0,0.99892,9.2,5
735,5633,2.1,0.112,11.0,22.0,0.9963,9.5,5
1014,5912,2.0,0.12,3.0,7.0,0.99454,11.2,6
639,5537,1.9,0.067,25.0,57.0,0.997,10.3,6
223,5121,2.0,0.083,8.0,28.0,0.99815,10.0,6
846,5744,1.8,0.081,14.0,31.0,0.99689,9.8,5
1016,5914,2.2,0.068,12.0,28.0,0.99486,12.6,7
91,4989,1.9,0.11,20.0,136.0,0.9972,9.9,6
1191,6089,2.3,0.166,6.0,12.0,0.99551,10.8,5
1285,6183,1.8,0.09,20.0,47.0,0.99734,10.5,5
1109,6007,2.1,0.171,27.0,66.0,0.9982,10.8,6
1259,6157,2.7,0.123,15.0,33.0,0.99538,11.3,6
972,5870,2.4,0.104,6.0,13.0,0.99643,11.6,7
1383,6281,2.1,0.08,25.0,105.0,0.99613,9.9,5
817,5715,1.6,0.084,19.0,27.0,0.99545,11.9,6
1024,5922,1.8,0.088,12.0,18.0,0.99568,10.5,7
600,5498,2.1,0.088,7.0,23.0,0.9962,10.0,4
1561,6459,2.0,0.08,31.0,131.0,0.99622,9.9,5
216,5114,2.0,0.101,13.0,49.0,0.9962,11.0,5
1418,6316,1.6,0.077,3.0,19.0,0.995,9.8,5
1148,6046,2.0,0.086,9.0,21.0,0.99526,11.6,6
1128,6026,2.7,0.095,28.0,89.0,0.9984,10.0,5
540,5438,3.3,0.101,20.0,47.0,0.9988,9.6,5
277,5175,4.0,0.104,4.0,23.0,0.9996,10.1,6
803,5701,2.5,0.114,14.0,46.0,0.9971,9.6,6
1010,5908,1.7,0.067,7.0,12.0,0.99354,12.3,7
1020,5918,2.4,0.123,3.0,8.0,0.99642,11.9,6
316,5214,3.4,0.102,37.0,92.0,0.9996,10.1,5
1595,6493,2.2,0.062,39.0,51.0,0.99512,11.2,6
569,5467,2.2,0.095,19.0,42.0,0.9946,11.7,6
1239,6137,4.3,0.057,11.0,20.0,0.99488,11.8,4
326,5224,3.65,0.121,6.0,14.0,0.9978,11.5,7
855,5753,2.5,0.071,10.0,14.0,0.99538,11.7,7
168,5066,2.1,0.089,11.0,44.0,0.9953,10.4,6
411,5309,2.4,0.08,23.0,78.0,0.9987,9.5,5
132,5030,2.3,0.049,17.0,99.0,0.9937,13.0,5
1214,6112,1.9,0.081,6.0,9.0,0.99628,10.4,6
1464,6362,1.7,0.063,34.0,53.0,0.9958,9.7,5
1187,6085,2.0,0.085,6.0,39.0,0.99346,11.9,6
443,5341,2.7,0.077,11.0,19.0,0.9963,11.6,7
1363,6261,2.0,0.08,11.0,63.0,0.99652,9.8,4
801,5699,3.3,0.068,8.0,17.0,0.99735,10.0,5
1577,6475,5.1,0.076,13.0,27.0,0.99622,11.9,6
325,5223,11.0,0.071,13.0,50.0,1.0015,9.2,6
20,4918,1.8,0.077,29.0,60.0,0.9968,9.4,6
767,5665,2.7,0.103,13.0,98.0,0.99938,9.5,5
491,5389,2.5,0.055,12.0,25.0,0.9952,13.3,7
906,5804,2.6,0.084,12.0,78.0,0.9964,11.0,5
490,5388,2.8,0.078,24.0,56.0,0.9984,10.6,6
217,5115,2.2,0.072,11.0,41.0,0.9967,9.1,5
338,5236,3.0,0.103,28.0,99.0,1.0008,11.5,6
1129,6027,3.3,0.092,24.0,70.0,0.99798,10.5,6
1496,6394,1.9,0.089,23.0,147.0,0.99636,9.7,5
478,5376,2.2,0.087,5.0,28.0,0.9988,10.2,5
1062,5960,1.9,0.098,6.0,15.0,0.9956,11.4,6
472,5370,2.6,0.083,25.0,68.0,0.9995,10.4,6
1301,6199,2.0,0.1,20.0,57.0,0.99598,11.7,6
1434,6332,15.4,0.214,55.0,95.0,1.00369,9.0,6
602,5500,2.6,0.081,6.0,14.0,0.9975,9.3,5
107,5005,1.7,0.088,15.0,64.0,0.9969,9.3,5
923,5821,8.8,0.084,26.0,45.0,0.99824,10.1,6
42,4940,2.6,0.332,8.0,14.0,0.9968,10.5,6
198,5096,1.2,0.046,13.0,93.0,0.9924,13.0,7
1005,5903,1.8,0.067,4.0,8.0,0.9928,12.8,7
466,5364,2.0,0.069,21.0,51.0,0.9982,11.5,6
40,4938,5.9,0.074,12.0,87.0,0.9978,10.5,5
701,5599,2.1,0.066,8.0,25.0,0.9972,9.5,6
1041,5939,1.7,0.079,13.0,26.0,0.99547,9.8,6
662,5560,1.6,0.076,9.0,27.0,0.9972,9.6,6
1091,5989,2.0,0.086,8.0,19.0,0.99546,11.4,6
25,4923,1.4,0.08,11.0,23.0,0.9955,9.3,5
41,4939,2.8,0.088,17.0,46.0,0.9976,9.3,4
1101,5999,2.1,0.071,14.0,25.0,0.99388,12.0,6
1199,6097,2.3,0.076,23.0,94.0,0.99686,9.5,6
314,5212,2.6,0.087,26.0,72.0,0.99645,11.0,5
1232,6130,2.1,0.075,19.0,66.0,0.99718,9.5,5
1317,6215,2.2,0.091,10.0,41.0,0.99638,11.9,6
110,5008,1.8,0.104,12.0,47.0,0.9964,9.5,5
294,5192,3.2,0.094,17.0,53.0,1.0014,9.5,6
1548,6446,2.0,0.099,19.0,50.0,0.99783,10.4,5
636,5534,2.4,0.086,30.0,147.0,0.9979,9.4,5
1135,6033,1.7,0.067,22.0,50.0,0.9946,11.9,6
1443,6341,1.75,0.058,8.0,22.0,0.99322,11.7,5
381,5279,2.9,0.085,17.0,43.0,1.0014,10.0,6
791,5689,2.9,0.084,25.0,130.0,0.99818,9.6,5
1015,5913,2.2,0.075,14.0,27.0,0.99598,11.4,6
1454,6352,2.2,0.073,7.0,23.0,0.99974,10.9,6
1410,6308,1.8,0.082,5.0,16.0,0.9936,11.9,6
1208,6106,2.1,0.074,24.0,44.0,0.99534,11.0,7
1046,5944,1.7,0.076,33.0,45.0,0.99612,10.7,6
1453,6351,1.9,0.074,27.0,85.0,0.99706,9.0,5
1549,6447,1.8,0.074,17.0,24.0,0.99419,11.4,8
1368,6266,2.1,0.079,16.0,74.0,0.99656,9.8,6
661,5559,1.6,0.08,15.0,42.0,0.9978,9.0,5
696,5594,2.1,0.066,8.0,25.0,0.9972,9.5,6
777,5675,2.4,0.241,6.0,18.0,0.9961,10.3,6
917,5815,8.8,0.084,26.0,45.0,0.99824,10.1,6
351,5249,2.6,0.096,11.0,26.0,0.9994,9.4,6
1336,6234,1.4,0.057,15.0,26.0,0.99448,9.5,5
1119,6017,2.5,0.066,7.0,15.0,0.99256,12.9,5
1241,6139,2.5,0.079,28.0,65.0,0.99729,9.8,5
225,5123,2.6,0.073,29.0,63.0,0.99615,10.5,6
1427,6325,2.5,0.078,6.0,23.0,0.9957,11.2,5
134,5032,2.2,0.084,13.0,29.0,0.9959,9.9,6
1284,6182,2.3,0.071,18.0,36.0,0.99476,10.9,5
1558,6456,6.7,0.235,66.0,115.0,0.99787,9.5,5
913,5811,4.6,0.094,3.0,10.0,0.99639,12.2,7
1426,6324,1.8,0.046,23.0,60.0,0.9971,12.1,6
75,4973,2.2,0.093,9.0,42.0,0.9986,10.5,5
921,5819,2.2,0.081,32.0,79.0,0.9964,11.0,6
879,5777,2.5,0.076,18.0,88.0,0.99745,9.5,5
387,5285,1.9,0.079,17.0,42.0,0.9972,9.6,6
221,5119,2.0,0.101,16.0,72.0,0.9957,9.4,5
663,5561,1.8,0.05,5.0,13.0,0.9974,10.2,6
295,5193,2.5,0.073,5.0,27.0,1.0001,9.5,5
838,5736,1.6,0.075,9.0,28.0,0.99672,11.2,7
262,5160,1.7,0.07,10.0,35.0,0.99575,10.0,5
492,5390,2.6,0.052,13.0,27.0,0.995,13.4,7
669,5567,2.0,0.082,6.0,15.0,0.9988,9.2,6
1419,6317,2.2,0.077,32.0,133.0,0.9956,9.9,5
534,5432,2.7,0.102,13.0,32.0,1.0,10.0,6
683,5581,2.6,0.059,5.0,15.0,0.997,11.3,5
949,5847,1.8,0.075,10.0,21.0,0.99552,11.9,7
577,5475,2.8,0.083,18.0,111.0,0.9982,9.5,5
70,4968,1.9,0.076,15.0,27.0,0.9967,9.5,6
1117,6015,2.5,0.091,15.0,21.0,0.99572,11.3,6
553,5451,1.6,0.05,32.0,96.0,0.9934,11.5,5
390,5288,1.4,0.045,12.0,88.0,0.9924,12.9,8
50,4948,1.7,0.074,4.0,23.0,0.9971,9.2,5
1238,6136,2.5,0.081,12.0,24.0,0.99798,9.6,4
441,5339,2.15,0.068,7.0,27.0,0.9988,11.3,6
264,5162,2.4,0.064,5.0,27.0,0.9999,10.9,5
226,5124,2.0,0.337,27.0,81.0,0.9964,9.5,6
237,5135,1.9,0.097,15.0,39.0,0.99675,9.2,6
962,5860,2.1,0.115,6.0,16.0,0.99654,9.5,5
1428,6326,1.9,0.072,27.0,55.0,0.9962,11.0,5
362,5260,2.5,0.072,6.0,37.0,0.9992,10.0,5
521,5419,2.0,0.088,16.0,43.0,0.998,9.1,5
92,4990,2.0,0.11,19.0,133.0,0.9972,9.8,5
677,5575,2.3,0.084,12.0,31.0,0.9979,9.9,5
924,5822,2.3,0.055,14.0,28.0,0.99516,11.2,5
477,5375,1.8,0.075,6.0,20.0,0.9977,11.0,6
1380,6278,2.6,0.077,11.0,35.0,0.99557,10.8,6
985,5883,2.0,0.064,7.0,11.0,0.99562,11.3,6
1161,6059,1.4,0.076,12.0,21.0,0.99551,10.2,6
126,5024,1.7,0.081,3.0,12.0,0.9964,10.9,5
1560,6458,2.0,0.08,31.0,131.0,0.99622,9.9,5
1288,6186,4.5,0.068,20.0,110.0,0.99914,10.2,5
734,5632,2.0,0.075,9.0,39.0,0.9987,9.3,5
494,5392,8.3,0.051,28.0,91.0,0.9952,12.1,6
1394,6292,3.9,0.07,27.0,73.0,0.99669,9.2,5
375,5273,4.4,0.124,6.0,15.0,0.9984,11.8,7
689,5587,1.8,0.157,5.0,17.0,0.9976,9.4,5
514,5412,2.4,0.107,6.0,15.0,0.9973,11.8,7
875,5773,2.8,0.109,7.0,16.0,0.99614,11.8,7
842,5740,2.6,0.119,34.0,68.0,0.99708,10.9,6
864,5762,2.7,0.077,15.0,85.0,0.99746,9.5,5
778,5676,3.4,0.079,7.0,34.0,0.99788,10.5,5
983,5881,1.9,0.065,8.0,17.0,0.99774,10.5,6
1030,5928,2.1,0.091,9.0,14.0,0.99488,11.5,7
231,5129,1.8,0.078,12.0,49.0,0.99625,9.9,6
1547,6445,1.6,0.048,12.0,26.0,0.99306,12.1,5
1417,6315,2.5,0.064,21.0,37.0,0.9952,12.1,7
1528,6426,2.2,0.096,21.0,59.0,0.99714,10.1,6
706,5604,2.0,0.093,10.0,19.0,0.9956,10.0,5
892,5790,1.9,0.082,10.0,18.0,0.99774,9.3,6
382,5280,2.0,0.08,11.0,27.0,0.9974,9.4,6
79,4977,1.5,0.08,27.0,119.0,0.9972,9.1,4
1583,6481,2.1,0.074,32.0,98.0,0.99578,9.8,5
1204,6102,2.1,0.074,24.0,44.0,0.99534,11.0,7
1043,5941,8.9,0.069,18.0,39.0,0.99859,10.9,7
1310,6208,1.9,0.073,24.0,88.0,0.99612,9.8,5
695,5593,1.3,0.034,18.0,44.0,0.9921,12.8,6
633,5531,3.4,0.105,11.0,86.0,1.001,11.3,4
684,5582,2.3,0.078,35.0,152.0,0.998,9.4,5
784,5682,2.5,0.077,20.0,85.0,0.99746,9.8,5
529,5427,2.4,0.077,6.0,33.0,0.9974,9.4,5
1302,6200,2.1,0.064,4.0,15.0,0.99576,11.2,6
641,5539,2.3,0.071,21.0,68.0,0.9992,9.5,5
305,5203,2.5,0.063,6.0,25.0,0.9998,9.3,6
1111,6009,2.0,0.092,23.0,55.0,0.99471,12.3,7
1598,6496,3.6,0.067,18.0,42.0,0.99549,11.0,6
183,5081,1.8,0.077,11.0,65.0,0.9971,9.3,5
476,5374,2.0,0.091,6.0,16.0,0.998,9.7,5
720,5618,2.0,0.082,10.0,22.0,0.9976,9.6,5
827,5725,2.8,0.076,15.0,37.0,0.99624,10.7,5
437,5335,3.2,0.066,6.0,22.0,0.9986,11.2,6
579,5477,2.2,0.063,18.0,40.0,0.9976,9.8,6
1068,5966,2.2,0.06,3.0,10.0,0.99572,10.9,7
1032,5930,4.1,0.095,5.0,14.0,0.99854,9.6,5
242,5140,1.8,0.102,28.0,109.0,0.99565,9.8,6
1157,6055,2.1,0.042,16.0,101.0,0.9924,12.9,7
151,5049,3.4,0.61,32.0,69.0,0.9996,9.4,4
1184,6082,2.1,0.08,11.0,119.0,0.99538,10.9,5
1460,6358,2.3,0.054,34.0,64.0,0.99724,10.4,6
1582,6480,2.6,0.053,13.0,27.0,0.99362,11.9,5
1247,6145,1.8,0.082,15.0,34.0,0.99655,10.5,5
517,5415,2.1,0.2,5.0,16.0,0.9994,8.4,3
1251,6149,2.2,0.077,27.0,60.0,0.9963,9.8,5
1409,6307,2.1,0.064,40.0,54.0,0.995,10.7,6
47,4945,1.6,0.113,12.0,37.0,0.9969,9.5,5
420,5318,2.4,0.089,35.0,67.0,0.9972,11.8,7
489,5387,2.6,0.073,10.0,26.0,0.9984,10.2,6
218,5116,1.9,0.076,10.0,44.0,0.9957,9.7,5
1013,5911,1.6,0.092,22.0,31.0,0.99635,10.0,6
1532,6430,2.0,0.058,18.0,22.0,0.99573,9.9,6
1110,6008,1.4,0.07,6.0,14.0,0.99593,10.0,6
1329,6227,2.1,0.083,17.0,91.0,0.99616,9.8,6
928,5826,2.3,0.055,14.0,28.0,0.99516,11.2,5
1216,6114,2.0,0.079,10.0,79.0,0.99677,9.5,6
1169,6067,2.3,0.086,5.0,14.0,0.99502,11.5,6
1437,6335,4.8,0.07,15.0,39.0,0.99577,11.1,5
1007,5905,2.0,0.064,12.0,25.0,0.99516,11.7,7
1059,5957,4.0,0.101,3.0,10.0,0.99586,12.1,7
109,5007,2.0,0.122,37.0,153.0,0.9969,9.3,5
919,5817,1.8,0.072,38.0,46.0,0.99504,11.8,6
1096,5994,5.5,0.117,9.0,17.0,0.99655,10.8,6
845,5743,1.8,0.081,14.0,31.0,0.99689,9.8,5
1011,5909,2.0,0.088,12.0,19.0,0.9957,10.4,6
1082,5980,1.8,0.073,31.0,70.0,0.99685,9.5,6
23,4921,2.3,0.084,9.0,67.0,0.9968,9.4,5
1212,6110,2.1,0.078,8.0,15.0,0.99498,10.4,6
386,5284,2.0,0.088,23.0,48.0,0.9981,9.2,6
747,5645,2.6,0.083,16.0,68.0,0.99782,9.4,5
948,5846,1.8,0.075,10.0,21.0,0.99552,11.9,7
1515,6413,4.1,0.074,16.0,65.0,0.99842,9.25,6
571,5469,2.2,0.095,19.0,42.0,0.9946,11.7,6
229,5127,2.6,0.081,10.0,37.0,0.99685,11.0,5
1219,6117,1.3,0.044,25.0,50.0,0.99478,10.9,6
102,5000,1.9,0.08,13.0,35.0,0.9972,9.0,6
1372,6270,1.7,0.415,12.0,66.0,0.99623,9.2,5
83,4981,1.8,0.401,16.0,51.0,0.9969,9.4,5
922,5820,1.8,0.072,38.0,46.0,0.99504,11.8,6
1165,6063,1.9,0.369,15.0,38.0,0.99634,9.4,5
1297,6195,2.1,0.064,15.0,29.0,0.99323,12.1,6
1525,6423,2.1,0.064,18.0,34.0,0.99552,9.7,5
1073,5971,2.7,0.088,16.0,37.0,0.9972,10.7,6
508,5406,2.2,0.09,26.0,62.0,0.9994,10.2,6
336,5234,1.9,0.052,6.0,16.0,0.9948,12.5,6
1423,6321,3.9,0.123,14.0,31.0,0.9968,11.0,4
1031,5929,1.8,0.093,9.0,15.0,0.99514,11.0,7
116,5014,1.9,0.077,11.0,40.0,0.9978,10.0,6
1116,6014,2.5,0.091,15.0,21.0,0.99572,11.3,6
944,5842,3.8,0.09,11.0,24.0,0.99498,12.1,7
680,5578,1.9,0.07,15.0,40.0,1.0004,9.0,5
1144,6042,2.3,0.066,35.0,70.0,0.99588,10.1,5
1153,6051,2.1,0.083,17.0,38.0,0.99622,11.1,6
901,5799,2.4,0.08,16.0,33.0,0.99736,10.8,7
1028,5926,2.5,0.075,41.0,68.0,0.99586,10.1,6
1023,5921,2.3,0.098,3.0,9.0,0.99506,12.3,6
1445,6343,5.2,0.094,19.0,98.0,0.99713,9.6,6
78,4976,2.0,0.086,12.0,80.0,0.9958,10.1,5
1584,6482,2.4,0.061,24.0,34.0,0.99484,11.6,7
122,5020,2.5,0.075,3.0,13.0,0.998,9.2,5
1233,6131,2.2,0.057,14.0,36.0,0.99614,9.3,4
1429,6327,2.2,0.049,38.0,67.0,0.996,11.3,5
1194,6092,1.8,0.114,15.0,64.0,0.99588,9.5,6
69,4967,1.9,0.074,8.0,19.0,0.9962,10.5,6
859,5757,1.8,0.074,15.0,24.0,0.99438,11.2,6
1569,6467,1.9,0.056,15.0,34.0,0.99396,11.5,6
1190,6088,4.6,0.08,6.0,20.0,0.99652,12.5,6
1277,6175,1.9,0.114,3.0,10.0,0.99636,9.7,6
931,5829,2.0,0.074,13.0,38.0,0.99748,9.8,5
970,5868,1.9,0.066,6.0,10.0,0.99724,10.9,6
62,4960,1.9,0.085,12.0,35.0,0.9968,9.5,7
500,5398,1.9,0.081,14.0,38.0,0.9984,9.0,6
1225,6123,2.6,0.091,18.0,77.0,0.99922,9.4,5
475,5373,2.2,0.087,5.0,28.0,0.9988,10.2,5
424,5322,2.0,0.047,15.0,60.0,0.9955,10.9,5
238,5136,1.9,0.097,14.0,38.0,0.99675,9.0,6
1580,6478,2.4,0.068,9.0,26.0,0.9947,11.9,6
510,5408,4.6,0.073,19.0,43.0,0.9978,9.5,5
1260,6158,1.8,0.403,19.0,56.0,0.99632,9.3,5
1357,6255,2.5,0.078,27.0,67.0,0.99648,11.1,6
991,5889,2.0,0.082,31.0,68.0,0.99694,9.4,5
349,5247,2.6,0.093,11.0,28.0,0.9994,9.4,6
939,5837,1.6,0.073,7.0,11.0,0.99425,11.4,5
751,5649,2.9,0.089,17.0,40.0,0.99803,9.5,5
882,5780,3.1,0.194,14.0,26.0,0.99536,12.0,6
275,5173,4.0,0.087,27.0,61.0,0.9965,10.7,6
1574,6472,13.9,0.074,23.0,92.0,0.99677,10.5,6
604,5502,2.9,0.096,14.0,63.0,0.9984,9.1,6
464,5362,2.1,0.084,5.0,15.0,0.9987,9.2,6
380,5278,2.0,0.08,11.0,27.0,0.9974,9.4,6
936,5834,2.3,0.06,19.0,72.0,0.99543,11.8,6
1536,6434,1.9,0.077,24.0,45.0,0.99528,10.3,6
146,5044,1.8,0.087,21.0,94.0,0.9944,10.0,5
212,5110,2.1,0.059,5.0,15.0,0.998,10.2,6
1181,6079,1.65,0.068,5.0,11.0,0.99478,11.4,5
609,5507,3.2,0.075,15.0,39.0,0.9956,12.7,6
1183,6081,1.6,0.07,16.0,61.0,0.99572,9.3,5
422,5320,2.0,0.047,15.0,60.0,0.9955,10.9,5
473,5371,2.1,0.062,5.0,14.0,0.9971,10.6,5
1308,6206,2.5,0.088,22.0,91.0,0.9979,10.1,5
1555,6453,1.7,0.065,15.0,24.0,0.99514,10.55,7
1141,6039,2.5,0.08,24.0,71.0,0.99624,11.0,6
918,5816,2.2,0.081,32.0,79.0,0.9964,11.0,6
1136,6034,2.0,0.08,6.0,13.0,0.99774,11.4,6
757,5655,2.2,0.084,10.0,31.0,0.99656,9.8,5
676,5574,2.2,0.084,7.0,17.0,0.9984,9.3,6
618,5516,2.7,0.122,4.0,17.0,1.0006,10.2,5
286,5184,2.0,0.073,25.0,49.0,0.9997,10.3,6
1295,6193,4.3,0.093,51.0,77.5,0.99558,9.5,5
968,5866,2.4,0.068,29.0,46.0,0.9943,12.2,6
556,5454,4.6,0.118,10.0,17.0,1.0002,11.7,6
1371,6269,3.1,0.153,5.0,14.0,0.99476,11.6,6
860,5758,2.7,0.077,15.0,85.0,0.99746,9.5,5
470,5368,2.6,0.093,15.0,47.0,0.9996,10.6,5
306,5204,2.2,0.082,7.0,54.0,0.9966,9.4,5
176,5074,2.0,0.08,7.0,35.0,0.9961,9.5,5
1303,6201,1.8,0.081,28.0,68.0,0.99501,11.2,5
401,5299,1.7,0.059,20.0,38.0,0.9949,10.8,6
657,5555,1.4,0.073,23.0,42.0,0.998,10.5,7
1258,6156,2.7,0.123,15.0,33.0,0.99538,11.3,6
1179,6077,2.4,0.076,11.0,47.0,0.99599,11.0,6
1281,6179,1.9,0.077,28.0,54.0,0.9956,10.4,6
907,5805,2.2,0.079,6.0,9.0,0.9948,11.5,6
1123,6021,1.9,0.081,17.0,29.0,0.99674,11.2,6
1367,6265,2.2,0.088,9.0,105.0,0.99725,10.5,6
165,5063,1.7,0.1,14.0,96.0,0.9961,9.5,5
143,5041,1.7,0.066,3.0,20.0,0.9954,9.4,5
578,5476,2.9,0.085,17.0,110.0,0.9982,9.8,5
1483,6381,1.5,0.042,6.0,12.0,0.99542,10.7,5
546,5444,2.0,0.078,10.0,28.0,0.9983,9.5,6
562,5460,2.9,0.094,41.0,110.0,0.9982,9.2,5
975,5873,2.1,0.083,35.0,72.0,0.997,9.4,5
227,5125,2.6,0.089,9.0,23.0,0.9984,9.8,5
318,5216,3.2,0.083,21.0,59.0,0.9989,11.5,7
848,5746,1.8,0.081,14.0,31.0,0.99689,9.8,5
1060,5958,1.8,0.074,3.0,8.0,0.9981,9.9,6
35,4933,5.5,0.086,5.0,18.0,0.9986,9.6,6
772,5670,2.3,0.082,23.0,144.0,0.99782,9.4,5
1147,6045,6.2,0.071,6.0,14.0,0.99702,11.8,7
315,5213,2.5,0.096,20.0,53.0,0.9962,11.0,6
525,5423,2.8,0.105,29.0,53.0,0.9998,9.9,5
1512,6410,2.2,0.061,11.0,17.0,0.99588,10.4,6
181,5079,2.0,0.27,23.0,110.0,0.9972,9.3,5
413,5311,6.7,0.097,6.0,19.0,0.9986,11.7,7
1322,6220,1.8,0.058,9.0,18.0,0.99392,11.4,5
518,5416,2.8,0.088,11.0,32.0,0.9972,11.7,6
541,5439,6.3,0.064,5.0,17.0,0.9988,11.0,6
1498,6396,2.3,0.068,7.0,13.0,0.99582,10.8,6
307,5205,2.4,0.213,6.0,14.0,0.9994,9.5,6
104,5002,2.2,0.07,5.0,36.0,0.996,9.4,5
1355,6253,1.8,0.086,5.0,32.0,0.99464,10.1,5
1027,5925,2.2,0.065,28.0,52.0,0.99378,11.6,5
481,5379,2.8,0.08,6.0,17.0,0.9964,11.7,8
1439,6337,2.2,0.072,31.0,92.0,0.99566,11.06666667,6
185,5083,2.0,0.111,26.0,85.0,0.9971,9.7,5
1416,6314,2.2,0.077,3.0,15.0,0.9994,9.6,5
1099,5997,1.5,0.096,5.0,18.0,0.99666,9.4,5
428,5326,1.3,0.07,9.0,30.0,0.9978,9.3,5
894,5792,2.2,0.08,17.0,88.0,0.99745,9.8,6
643,5541,2.3,0.071,21.0,68.0,0.9992,9.5,5
1254,6152,1.9,0.079,20.0,35.0,0.99628,10.9,5
1298,6196,1.4,0.063,11.0,18.0,0.99191,12.2,6
99,4997,1.9,0.08,13.0,35.0,0.9972,9.0,6
699,5597,2.1,0.071,5.0,19.0,0.9986,10.8,6
832,5730,1.5,0.145,34.0,48.0,0.99832,9.9,3
439,5337,1.5,0.062,7.0,50.0,0.9951,9.3,5
1192,6090,2.5,0.063,11.0,41.0,0.99439,12.4,7
1019,5917,1.8,0.078,10.0,23.0,0.99636,10.4,5
376,5274,3.0,0.078,19.0,47.0,1.0003,11.0,6
1173,6071,1.7,0.079,26.0,65.0,0.99716,9.5,6
300,5198,2.6,0.086,20.0,44.0,0.9965,10.7,6
1115,6013,2.5,0.091,15.0,21.0,0.99572,11.3,6
576,5474,2.3,0.103,6.0,14.0,0.9978,10.0,4
1333,6231,2.2,0.079,12.0,48.0,0.9976,9.6,5
152,5050,1.8,0.095,25.0,99.0,0.995,10.1,5
188,5086,2.0,0.084,15.0,143.0,0.9968,9.5,5
90,4988,1.9,0.079,42.0,140.0,0.9964,9.5,5
290,5188,2.5,0.091,20.0,49.0,0.9976,10.6,7
485,5383,1.9,0.054,6.0,17.0,0.9976,10.0,5
712,5610,3.2,0.084,13.0,33.0,0.9992,9.4,5
280,5178,3.6,0.071,6.0,19.0,0.9986,9.3,6
721,5619,2.85,0.094,35.0,106.0,0.9982,9.2,5
1596,6494,2.3,0.076,29.0,40.0,0.99574,11.0,6
1359,6257,1.4,0.091,6.0,28.0,0.99704,10.03333333,6
599,5497,2.3,0.082,11.0,22.0,1.0,9.3,6
679,5577,3.3,0.06,20.0,49.0,0.9972,9.6,5
